n_threads,mine1,mine2,mine3,other1,other2,other3
5,5.431,6.338,5.033,5.519,6.377,5.208
10,5.724,5.109,4.721,4.979,4.896,5.102
15,7.496,7.934,5.096,7.023,9.278,6.204
20,5.443,6.747,7.724,6.255,7.894,7.580
25,7.163,7.940,7.860,7.243,7.552,7.413
