n_threads,mine1,mine2,mine3,other1,other2,other3
5,6.128,7.019,6.202,6.245,6.472,6.548
10,9.091,7.583,5.740,9.106,6.119,7.045
15,7.765,5.329,6.895,7.098,7.418,7.602
20,6.064,7.411,8.272,6.347,7.812,6.104
25,7.326,7.328,8.383,7.856,6.021,11.45
30,6.362,7.212,6.960,6.326,8.258,7.251
35,7.891,6.639,9.044,7.882,6.922,7.812
40,6.073,5.881,7.056,7.144,6.084,5.403
45,5.842,6.213,7.204,6.081,5.500,6.164
50,6.033,6.868,7.217,6.005,6.366,6.461
55,7.241,6.106,6.113,6.225,6.445,6.025
60,6.274,6.226,5.903,5.248,6.022,7.132
65,5.721,6.826,5.946,6.663,6.438,6.246
70,6.360,6.446,6.813,6.529,6.078,6.917
