n_threads,mine1,mine2,mine3,other1,other2,other3
5,7.868,8.387,7.371,8.061,6.496,7.860
10,7.811,7.076,10.03,7.047,9.782,6.752
15,8.282,7.951,8.689,8.611,8.564,7.188
20,7.484,8.354,6.040,7.563,9.985,7.124
25,7.345,6.907,8.663,7.206,7.599,13.26
30,7.676,7.718,7.767,9.801,6.799,8.919
35,9.582,9.446,6.838,6.931,10.30,6.938
40,7.400,6.479,7.968,8.621,6.863,8.018
45,6.712,6.679,6.854,6.971,6.547,7.814
50,10.18,7.246,8.533,7.361,7.089,7.175
55,7.186,6.452,6.853,7.405,7.863,6.518
60,7.863,11.32,6.404,7.723,7.886,7.892
65,7.023,8.772,6.872,7.885,8.041,8.488
70,7.052,10.07,8.500,6.440,7.288,7.330
