n_threads,mine1,mine2,mine3,other1,other2,other3
5,15.12,13.54,16.11,12.60,13.10,11.06
10,11.87,15.45,12.58,10.50,12.99,18.95
15,18.27,10.37,9.622,11.32,15.58,10.19
20,12.45,14.41,12.36,8.571,9.082,9.259
25,7.630,9.244,8.926,7.393,10.77,9.968
30,11.51,14.82,10.01,9.044,10.86,9.390
35,8.020,9.161,8.406,9.398,7.701,9.374
40,9.739,11.33,10.08,8.978,7.470,7.159
45,6.984,13.31,7.788,7.445,17.12,6.455
50,7.753,7.493,6.498,8.014,7.392,10.00
55,8.008,7.141,7.396,8.761,7.063,6.896
60,6.723,7.524,7.469,7.516,8.685,7.238
65,8.263,9.084,8.184,9.490,7.176,6.545
70,6.623,7.395,7.074,7.447,8.042,10.55
