n_threads,mine1,mine2,mine3,other1,other2,other3
5,8.822,6.617,6.219,7.068,6.925,7.539
10,6.796,7.383,8.458,6.647,7.630,7.064
15,6.686,5.643,5.803,6.017,5.684,6.030
20,6.062,6.336,6.535,7.792,6.697,6.683
25,6.673,6.389,6.585,6.354,6.122,6.435
30,6.904,6.702,5.750,6.717,6.522,6.185
35,6.400,6.252,6.280,6.533,6.316,6.050
40,6.361,6.387,6.060,6.713,5.585,6.518
45,6.295,7.098,5.628,6.126,6.523,6.696
50,6.334,10.41,12.60,9.812,9.178,9.803
55,6.877,6.664,6.370,6.681,7.135,6.315
60,6.608,6.067,6.222,6.225,6.148,6.211
65,6.479,6.082,7.187,6.471,5.846,7.474
70,7.994,6.304,10.05,7.174,6.558,5.781
