n_threads,mine1,mine2,mine3,other1,other2,other3
5,7.756,7.537,10.87,7.329,9.439,10.08
10,7.435,10.63,7.976,7.881,11.42,7.640
15,10.02,8.783,9.776,8.889,9.861,8.490
20,8.474,9.751,7.678,9.651,8.027,7.746
25,9.149,7.999,7.051,9.371,7.281,7.279
30,8.100,8.592,7.647,8.324,7.641,7.300
35,8.194,7.897,8.073,8.569,8.938,7.929
40,7.283,9.665,8.263,7.731,9.527,8.339
45,7.545,7.684,7.997,8.631,7.946,7.036
50,8.921,7.338,7.107,7.704,7.270,7.787
55,8.595,7.920,8.299,8.311,8.111,7.522
60,7.535,7.708,7.514,7.965,8.134,7.758
65,8.819,8.168,7.966,8.008,8.449,7.592
70,8.793,7.946,9.226,8.733,7.789,7.780
