n_threads,mine1,mine2,mine3,other1,other2,other3
5,7.243,10.73,7.103,6.415,7.361,6.639
10,5.803,6.671,5.773,6.542,6.682,6.018
15,5.945,6.452,6.060,6.409,6.526,6.024
20,6.150,6.042,6.275,6.741,6.290,6.411
25,6.513,6.282,6.580,6.498,5.898,10.49
30,6.118,7.107,6.698,6.262,7.774,6.296
35,6.181,6.116,6.710,6.584,6.871,6.326
40,6.734,6.504,7.063,6.356,6.817,6.082
45,6.618,6.519,6.839,6.366,5.784,7.955
50,6.786,9.397,6.517,6.832,8.573,6.454
55,6.206,6.056,6.435,8.510,6.915,8.155
60,6.287,6.442,6.503,6.178,6.203,6.394
65,6.384,6.390,10.65,6.766,7.168,6.575
70,6.353,5.941,6.794,8.160,6.598,6.541
