n_threads,time (my program), time (supplied program)
5,17.73,10.63
10,11.26,10.01
15,9.035,8.668
20,8.070,7.148
25,8.653,7.692
30,7.352,7.382
35,6.849,9.198
40,8.744,7.657
45,7.993,7.633
50,7.325,6.374
55,6.901,7.645
60,7.295,7.035
65,6.541,6.865
70,6.549,6.655
